,variable,Date,value
102,USD/EUROS,2015-07-31,0.91
103,USD/EUROS,2015-08-31,0.9
104,USD/EUROS,2015-09-30,0.9
105,USD/EUROS,2015-10-31,0.9
106,USD/EUROS,2015-11-30,0.92
107,USD/EUROS,2015-12-31,0.91
108,USD/EUROS,2016-01-31,0.91
109,USD/EUROS,2016-02-29,0.91
110,USD/EUROS,2016-03-31,0.89
111,USD/EUROS,2016-04-30,0.89
112,USD/EUROS,2016-05-31,0.9
113,USD/EUROS,2016-06-30,0.89
114,USD/EUROS,2016-07-31,0.9
115,USD/EUROS,2016-08-31,0.89
116,USD/EUROS,2016-09-30,0.89
117,USD/EUROS,2016-10-31,0.91
118,USD/EUROS,2016-11-30,0.92
119,USD/EUROS,2016-12-31,0.93
120,USD/EUROS,2017-01-31,0.92
121,USD/EUROS,2017-02-28,0.92
122,USD/EUROS,2017-03-31,0.92
123,USD/EUROS,2017-04-30,0.91
124,USD/EUROS,2017-05-31,0.89
125,USD/EUROS,2017-06-30,0.89
126,USD/EUROS,2017-07-31,0.88
127,USD/EUROS,2017-08-31,0.87
128,USD/EUROS,2017-09-30,0.87
129,USD/EUROS,2017-10-31,0.88
130,USD/EUROS,2017-11-30,0.86
131,USD/EUROS,2017-12-31,0.87
132,USD/EUROS,2018-01-31,0.83
133,USD/EUROS,2018-02-28,0.82
134,USD/EUROS,2018-03-31,0.83
135,USD/EUROS,2018-04-30,0.83
136,USD/EUROS,2018-05-31,0.85
137,USD/EUROS,2018-06-30,0.85
138,USD/EUROS,2018-07-31,0.85
139,USD/EUROS,2018-08-31,0.86
140,USD/EUROS,2018-09-30,0.85
141,USD/EUROS,2018-10-31,0.86
142,USD/EUROS,2018-11-30,0.87
143,USD/EUROS,2018-12-31,0.86
144,USD/EUROS,2019-01-31,0.88
145,USD/EUROS,2019-02-28,0.89
146,USD/EUROS,2019-03-31,0.89
147,USD/EUROS,2019-04-30,0.89
148,USD/EUROS,2019-05-31,0.89
149,USD/EUROS,2019-06-30,0.89
150,USD/EUROS,2019-07-31,0.89
151,USD/EUROS,2019-08-31,0.9
152,USD/EUROS,2019-09-30,0.9
153,USD/EUROS,2019-10-31,0.9
154,USD/EUROS,2019-11-30,0.9
155,USD/EUROS,2019-12-31,0.9
156,USD/EUROS,2020-01-31,0.89
157,USD/EUROS,2020-02-29,0.9
158,USD/EUROS,2020-03-31,0.9
159,USD/EUROS,2020-04-30,0.91
160,USD/EUROS,2020-05-31,0.9
161,USD/EUROS,2020-06-30,0.89
162,USD/EUROS,2020-07-31,0.87
163,USD/EUROS,2020-08-31,0.86
164,USD/EUROS,2020-09-30,0.86
165,USD/EUROS,2020-10-31,0.86
166,USD/EUROS,2020-11-30,0.86
167,USD/EUROS,2020-12-31,0.84
168,USD/EUROS,2021-01-31,0.83
169,USD/EUROS,2021-02-28,0.83
170,USD/EUROS,2021-03-31,0.84
171,USD/EUROS,2021-04-30,0.84
172,USD/EUROS,2021-05-31,0.82
173,USD/EUROS,2021-06-30,0.85
174,USD/EUROS,2021-07-31,0.85
175,USD/EUROS,2021-08-31,0.85
176,USD/EUROS,2021-09-30,0.85
177,USD/EUROS,2021-10-31,0.85
178,USD/EUROS,2021-11-30,0.86
179,USD/EUROS,2021-12-31,0.87
180,USD/EUROS,2022-01-31,0.88
181,USD/EUROS,2022-02-28,0.88
182,USD/EUROS,2022-03-31,0.91
183,USD/EUROS,2022-04-30,0.93
