,beams EUR/ton
06/02/2018,663.0
07/02/2018,663.0
08/02/2018,663.0
09/02/2018,663.0
10/02/2018,663.0
11/02/2018,663.0
12/02/2018,663.0
13/02/2018,663.0
14/02/2018,663.0
15/02/2018,663.0
16/02/2018,663.0
17/02/2018,663.0
18/02/2018,663.0
19/02/2018,663.0
20/02/2018,663.0
21/02/2018,663.0
22/02/2018,663.0
23/02/2018,663.0
24/02/2018,663.0
25/02/2018,663.0
26/02/2018,663.0
27/02/2018,663.0
28/02/2018,663.0
29/02/2018,663.0
30/02/2018,663.0
31/02/2018,663.0
01/03/2018,655.0
02/03/2018,655.0
03/03/2018,655.0
04/03/2018,655.0
05/03/2018,655.0
06/03/2018,655.0
07/03/2018,655.0
08/03/2018,655.0
09/03/2018,655.0
10/03/2018,655.0
11/03/2018,655.0
