,variable,Year/Month,value
212,aluminium (EUR),18/09,1330.52
213,aluminium (EUR),18/10,1278.59
214,aluminium (EUR),18/11,1283.14
215,aluminium (EUR),18/12,1292.53
216,aluminium (EUR),19/01,1322.6
217,aluminium (EUR),19/02,1380.85
218,aluminium (EUR),19/03,1342.07
219,aluminium (EUR),19/04,1289.1
220,aluminium (EUR),19/05,1232.86
221,aluminium (EUR),19/06,1055.17
222,aluminium (EUR),19/07,1107.84
223,aluminium (EUR),19/08,1074.24
224,aluminium (EUR),19/09,1066.21
225,aluminium (EUR),19/10,1087.17
226,aluminium (EUR),19/11,1127.04
227,aluminium (EUR),19/12,1223.21
228,aluminium (EUR),20/01,
229,aluminium (EUR),20/02,1268.47
230,aluminium (EUR),20/03,1181.7
231,aluminium (EUR),20/04,1107.05
232,aluminium (EUR),20/05,1115.53
233,aluminium (EUR),20/06,1074.41
234,aluminium (EUR),20/07,1081.57
235,aluminium (EUR),20/10,1322.64
236,aluminium (EUR),20/11,1377.89
237,aluminium (EUR),20/12,1509.93
238,aluminium (EUR),21/01,1574.33
239,aluminium (EUR),21/02,1731.37
240,aluminium (EUR),21/03,1837.53
241,aluminium (EUR),21/04,1630.54
242,aluminium (EUR),21/05,1698.5
243,aluminium (EUR),21/07,1882.99
244,aluminium (EUR),21/08,1928.24
245,aluminium (EUR),21/09,2076.48
246,aluminium (EUR),21/10,2310.11
247,aluminium (EUR),21/11,2144.53
248,aluminium (EUR),21/12,2055.86
249,aluminium (EUR),22/01,2089.32
250,aluminium (EUR),22/02,2312.02
251,aluminium (EUR),22/03,2587.94
252,aluminium (EUR),22/04,2443.7
253,aluminium (EUR),22/05,1841.24
254,aluminium (EUR),22/06,1654.45
255,beams EUR/ton,15/03,
256,beams EUR/ton,15/04,
257,beams EUR/ton,15/05,
258,beams EUR/ton,15/06,
259,beams EUR/ton,15/07,
260,beams EUR/ton,15/08,
261,beams EUR/ton,15/09,
262,beams EUR/ton,15/10,
