,aluminium (USD)
17/07/2017,1646.0
14/07/2017,1661.5
13/07/2017,1661.5
12/07/2017,1651.5
11/07/2017,1651.75
10/07/2017,1657.0
07/07/2017,1657.5
06/07/2017,1672.5
05/07/2017,1667.5
04/07/2017,1667.5
03/07/2017,1652.5
30/06/2017,1643.0
29/06/2017,1643.0
28/06/2017,1638.0
27/06/2017,1623.25
26/06/2017,1608.5
22/06/2017,1614.0
21/06/2017,1614.0
20/06/2017,1619.0
19/06/2017,1624.0
16/06/2017,1614.5
15/06/2017,1614.5
14/06/2017,1629.5
13/06/2017,1624.5
12/06/2017,1634.5
09/06/2017,1645.0
08/06/2017,1650.0
07/06/2017,1650.25
06/06/2017,1660.5
05/06/2017,1660.5
02/06/2017,1661.0
01/06/2017,1661.0
31/05/2017,1666.0
30/05/2017,1671.0
26/05/2017,1676.5
25/05/2017,1676.5
24/05/2017,1671.5
23/05/2017,1676.75
22/05/2017,1676.75
19/05/2017,1677.0
17/05/2017,1677.0
16/05/2017,1677.0
15/05/2017,1677.0
12/05/2017,1678.0
11/05/2017,1678.0
10/05/2017,1678.0
09/05/2017,1688.0
08/05/2017,1688.0
05/05/2017,1698.5
04/05/2017,1698.5
03/05/2017,1708.5
02/05/2017,1723.5
28/04/2017,1719.0
27/04/2017,1719.25
26/04/2017,1719.5
25/04/2017,1689.5
24/04/2017,1704.5
21/04/2017,1740.0
20/04/2017,1715.25
19/04/2017,1690.5
18/04/2017,1700.5
13/04/2017,1701.0
12/04/2017,1721.0
11/04/2017,1721.25
07/04/2017,1726.5
06/04/2017,1726.5
05/04/2017,1731.5
04/04/2017,1721.5
03/04/2017,1722.0
31/03/2017,1722.5
30/03/2017,1722.5
29/03/2017,1717.75
28/03/2017,1718.0
27/03/2017,1713.0
24/03/2017,1713.5
23/03/2017,1713.5
22/03/2017,1728.75
21/03/2017,1729.0
20/03/2017,1739.0
17/03/2017,1754.5
16/03/2017,1744.5
15/03/2017,1745.0
14/03/2017,1725.0
13/03/2017,1725.0
10/03/2017,1725.5
09/03/2017,1725.5
08/03/2017,1725.5
07/03/2017,1730.5
06/03/2019,1528.0
05/03/2019,1533.0
04/03/2019,1538.0
28/02/2019,1547.0
27/02/2019,1549.5
26/02/2019,1549.5
25/02/2019,1555.5
21/02/2019,1566.0
20/02/2019,1561.0
19/02/2019,1551.0
18/02/2019,1546.5
14/02/2019,1562.0
13/02/2019,1562.5
12/02/2019,1562.5
11/02/2019,1583.0
07/02/2019,1588.5
06/02/2019,1593.5
05/02/2019,1593.5
04/02/2019,1599.5
31/01/2019,1550.0
30/01/2019,1546.0
29/01/2019,1531.5
28/01/2019,1526.5
24/01/2019,1533.5
22/01/2019,1527.0
21/01/2019,1497.0
17/01/2019,1511.0
16/01/2019,1501.5
15/01/2019,1502.0
14/01/2019,1522.0
10/01/2019,1498.0
09/01/2019,1498.5
08/01/2019,1499.0
07/01/2019,1504.0
03/01/2019,1496.0
02/01/2019,1491.5
31/12/2018,1483.0
27/12/2018,1474.25
20/12/2018,1486.0
19/12/2018,1471.5
18/12/2018,1467.0
17/12/2018,1467.0
13/12/2018,1469.0
12/12/2018,1469.0
11/12/2018,1474.0
10/12/2018,1479.0
06/12/2018,1480.0
05/12/2018,1475.0
03/12/2018,1450.0
29/11/2018,1431.0
28/11/2018,1436.0
27/11/2018,1428.5
26/11/2018,1446.5
22/11/2018,1482.5
21/11/2018,1482.75
20/11/2018,1483.0
19/11/2018,1473.5
15/11/2018,1475.0
14/11/2018,1475.0
13/11/2018,1465.0
12/11/2018,1455.5
08/11/2018,1452.0
07/11/2018,1437.0
06/11/2018,1447.0
05/11/2018,1452.0
01/11/2018,1448.0
31/10/2018,1448.0
30/10/2018,1468.0
29/10/2018,1443.0
25/10/2018,1469.0
24/10/2018,1419.0
23/10/2018,1414.0
18/10/2018,1495.0
17/10/2018,1480.0
16/10/2018,1455.0
15/10/2018,1445.0
11/10/2018,1490.0
10/10/2018,1512.5
09/10/2018,1525.0
08/10/2018,1452.5
04/10/2018,1485.0
03/10/2018,1505.0
02/10/2018,1450.0
01/10/2018,1440.0
27/09/2018,1445.0
26/09/2018,1455.0
25/09/2018,1500.0
24/09/2018,1545.0
20/09/2018,1555.0
19/09/2018,1540.0
18/09/2018,1565.0
17/09/2018,1585.0
13/09/2018,1590.0
12/09/2018,1575.0
11/09/2018,1575.0
10/09/2018,1585.0
05/09/2018,1595.0
04/09/2018,1565.0
03/09/2018,1640.0
30/08/2018,1665.0
29/08/2018,1680.0
23/08/2018,1600.0
