,aluminium (USD)
25/08/2016,1579.5
24/08/2016,1578.5
23/08/2016,1578.5
22/08/2016,1578.25
18/08/2016,1558.0
17/08/2016,1557.0
16/08/2016,1556.5
15/08/2016,1556.0
11/08/2016,1550.75
10/08/2016,1550.75
09/08/2016,1550.5
08/08/2016,1550.25
04/08/2016,1555.0
03/08/2016,1550.0
02/08/2016,1575.0
01/08/2016,1540.0
28/07/2016,1580.0
27/07/2016,1535.0
26/07/2016,1540.0
25/07/2016,1550.0
21/07/2016,1510.0
19/07/2016,1510.0
18/07/2016,1502.0
14/07/2016,1550.0
13/07/2016,1535.0
12/07/2016,1535.0
11/07/2016,1535.0
07/07/2016,1535.0
06/07/2016,1535.0
05/07/2016,1535.0
04/07/2016,1535.0
30/06/2016,1535.0
29/06/2016,1535.0
28/06/2016,1535.0
27/06/2016,1535.0
23/06/2016,1530.0
22/06/2016,1530.0
21/06/2016,1530.0
20/06/2016,1530.0
16/06/2016,1535.0
15/06/2016,1540.0
14/06/2016,1510.0
13/06/2016,1495.0
09/06/2016,1535.0
08/06/2016,1535.0
06/06/2016,1545.0
02/06/2016,1540.0
01/06/2016,1540.0
31/05/2016,1545.0
26/05/2016,1540.0
25/05/2016,1540.0
24/05/2016,1540.0
23/05/2016,1535.0
19/05/2016,1535.0
18/05/2016,1535.0
17/05/2016,1535.0
16/05/2016,1521.0
12/05/2016,1530.0
11/05/2016,1520.0
10/05/2016,1520.0
09/05/2016,1550.0
05/05/2016,1550.0
04/05/2016,1545.0
03/05/2016,1545.0
28/04/2016,1550.0
27/04/2016,1550.0
26/04/2016,1550.0
25/04/2016,1550.0
21/04/2016,1560.0
19/04/2016,1530.0
18/04/2016,1532.0
14/04/2016,1555.0
13/04/2016,1555.0
12/04/2016,1565.0
11/04/2016,1555.0
07/04/2016,1555.0
06/04/2016,1555.0
05/04/2016,1570.0
04/04/2016,1590.0
31/03/2016,1575.0
30/03/2016,1575.0
29/03/2016,1575.0
23/03/2016,1585.0
22/03/2016,1570.0
21/03/2016,1565.0
17/03/2016,1565.0
16/03/2016,1565.0
15/03/2016,1565.0
14/03/2016,1550.0
10/03/2016,1565.0
09/03/2016,1575.0
06/03/2018,1855.0
05/03/2018,1875.0
01/03/2018,1860.5
28/02/2018,1860.5
27/02/2018,1835.5
26/02/2018,1851.0
22/02/2018,1851.0
21/02/2018,1850.5
20/02/2018,1835.5
19/02/2018,1836.0
15/02/2018,1811.25
14/02/2018,1810.75
13/02/2018,1805.5
12/02/2018,1795.5
08/02/2018,1830.5
07/02/2018,1831.0
06/02/2018,1845.0
05/02/2018,1855.25
01/02/2018,1875.5
31/01/2018,1858.0
30/01/2018,1870.0
29/01/2018,1837.0
25/01/2018,1819.5
24/01/2018,1819.0
22/01/2018,1829.75
18/01/2018,1834.5
17/01/2018,1819.5
16/01/2018,1815.0
15/01/2018,1810.0
11/01/2018,1790.25
10/01/2018,1800.0
09/01/2018,1805.5
08/01/2018,1805.5
04/01/2018,1805.5
03/01/2018,1805.25
02/01/2018,1805.25
28/12/2017,1860.75
27/12/2017,1840.0
21/12/2017,1831.0
20/12/2017,1820.0
19/12/2017,1795.5
18/12/2017,1785.0
14/12/2017,1785.25
13/12/2017,1784.75
12/12/2017,1784.5
11/12/2017,1784.0
07/12/2017,1789.0
06/12/2017,1788.5
04/12/2017,1794.0
30/11/2017,1869.5
29/11/2017,1859.0
28/11/2017,1859.0
27/11/2017,1859.0
23/11/2017,1835.0
21/11/2017,1839.5
20/11/2017,1839.0
16/11/2017,1845.0
15/11/2017,1845.0
14/11/2017,1844.75
13/11/2017,1845.0
09/11/2017,1848.0
08/11/2017,1847.0
07/11/2017,1849.0
06/11/2017,1849.0
26/10/2017,1820.0
25/10/2017,1819.5
24/10/2017,1819.5
23/10/2017,1819.5
19/10/2017,1820.5
18/10/2017,1820.0
17/10/2017,1820.0
16/10/2017,1825.0
11/10/2017,1830.0
10/10/2017,1820.0
09/10/2017,1825.0
05/10/2017,1829.0
04/10/2017,1809.0
03/10/2017,1774.0
02/10/2017,1774.25
28/09/2017,1774.75
27/09/2017,1774.5
26/09/2017,1774.5
25/09/2017,1774.25
21/09/2017,1770.25
20/09/2017,1755.0
19/09/2017,1754.75
18/09/2017,1755.0
14/09/2017,1755.0
13/09/2017,1744.0
12/09/2017,1753.75
11/09/2017,1748.25
07/09/2017,1782.75
06/09/2017,1806.75
05/09/2017,1783.75
04/09/2017,1825.25
31/08/2017,1815.25
29/08/2017,1794.75
24/08/2017,1795.0
23/08/2017,1779.5
22/08/2017,1779.5
21/08/2017,1779.5
17/08/2017,1780.0
16/08/2017,1780.0
15/08/2017,1715.0
14/08/2017,1715.25
10/08/2017,1715.25
09/08/2017,1714.0
08/08/2017,1714.0
07/08/2017,1683.0
03/08/2017,1657.75
02/08/2017,1626.5
01/08/2017,1627.0
31/07/2017,1627.0
27/07/2017,1626.5
26/07/2017,1625.5
25/07/2017,1615.5
24/07/2017,1615.0
20/07/2017,1620.5
19/07/2017,1625.5
18/07/2017,1625.5
13/07/2017,1644.5
12/07/2017,1633.0
11/07/2017,1634.75
10/07/2017,1639.75
06/07/2017,1655.5
05/07/2017,1650.0
04/07/2017,1650.0
03/07/2017,1635.0
29/06/2017,1625.0
28/06/2017,1619.5
27/06/2017,1604.25
26/06/2017,1589.25
22/06/2017,1594.25
21/06/2017,1593.75
20/06/2017,1598.5
19/06/2017,1603.5
15/06/2017,1595.5
14/06/2017,1610.0
13/06/2017,1605.0
12/06/2017,1615.0
08/06/2017,1630.5
07/06/2017,1630.25
06/06/2017,1640.25
05/06/2017,1640.0
31/05/2017,1645.0
30/05/2017,1650.0
25/05/2017,1655.5
24/05/2017,1650.0
23/05/2017,1655.0
22/05/2017,1655.0
18/05/2017,1655.0
17/05/2017,1654.5
16/05/2017,1654.25
15/05/2017,1654.0
11/05/2017,1656.0
10/05/2017,1656.0
09/05/2017,1666.0
08/05/2017,1666.0
04/05/2017,1676.5
03/05/2017,1686.5
02/05/2017,1701.5
27/04/2017,1697.25
26/04/2017,1697.5
25/04/2017,1667.5
24/04/2017,1682.5
20/04/2017,1693.25
19/04/2017,1668.5
18/04/2017,1678.5
11/04/2017,1696.0
10/04/2017,1695.75
06/04/2017,1699.75
05/04/2017,1703.5
04/04/2017,1693.0
03/04/2017,1693.5
30/03/2017,1696.64
29/03/2017,1691.5
28/03/2017,1688.75
27/03/2017,1683.75
23/03/2017,1683.75
22/03/2017,1698.5
21/03/2017,1698.5
20/03/2017,1708.25
16/03/2017,1713.5
15/03/2017,1713.5
14/03/2017,1693.5
13/03/2017,1693.5
09/03/2017,1695.0
08/03/2017,1695.0
06/03/2019,1444.0
05/03/2019,1448.75
04/03/2019,1453.5
28/02/2019,1462.0
27/02/2019,1463.5
26/02/2019,1463.0
25/02/2019,1468.5
21/02/2019,1478.5
20/02/2019,1472.5
19/02/2019,1462.0
18/02/2019,1457.0
14/02/2019,1472.0
13/02/2019,1471.0
12/02/2019,1470.5
11/02/2019,1490.5
07/02/2019,1495.0
06/02/2019,1500.0
05/02/2019,1499.5
04/02/2019,1505.0
31/01/2019,1455.0
30/01/2019,1465.0
29/01/2019,1440.0
28/01/2019,1444.5
24/01/2019,1449.0
22/01/2019,1438.0
21/01/2019,1408.5
17/01/2019,1418.0
16/01/2019,1407.0
15/01/2019,1407.0
14/01/2019,1427.0
10/01/2019,1402.0
09/01/2019,1401.0
08/01/2019,1401.0
07/01/2019,1406.0
03/01/2019,1397.5
02/01/2019,1392.0
31/12/2018,1383.0
27/12/2018,1416.25
20/12/2018,1429.0
19/12/2018,1415.0
18/12/2018,1411.0
17/12/2018,1411.0
13/12/2018,1414.0
12/12/2018,1415.0
11/12/2018,1421.0
10/12/2018,1427.0
06/12/2018,1424.0
05/12/2018,1419.0
03/12/2018,1394.0
29/11/2018,1365.0
28/11/2018,1360.0
27/11/2018,1342.0
26/11/2018,1359.5
22/11/2018,1395.0
21/11/2018,1394.25
20/11/2018,1394.5
19/11/2018,1384.5
15/11/2018,1385.0
14/11/2018,1383.0
13/11/2018,1372.5
12/11/2018,1362.5
08/11/2018,1353.0
07/11/2018,1336.0
06/11/2018,1345.5
05/11/2018,1350.0
01/11/2018,1345.0
31/10/2018,1343.5
30/10/2018,1363.0
29/10/2018,1337.5
25/10/2018,1362.0
24/10/2018,1310.5
23/10/2018,1305.0
18/10/2018,1378.0
17/10/2018,1386.0
16/10/2018,1410.5
15/10/2018,1400.0
11/10/2018,1444.0
10/10/2018,1465.0
09/10/2018,1477.0
08/10/2018,1403.5
04/10/2018,1435.0
03/10/2018,1365.0
02/10/2018,1414.5
01/10/2018,1404.0
27/09/2018,1408.0
26/09/2018,1416.5
25/09/2018,1461.0
24/09/2018,1505.5
20/09/2018,1515.0
19/09/2018,1505.0
18/09/2018,1541.0
17/09/2018,1560.5
13/09/2018,1564.5
12/09/2018,1548.0
11/09/2018,1547.5
10/09/2018,1557.0
05/09/2018,1551.5
04/09/2018,1521.0
03/09/2018,1595.5
30/08/2018,1620.0
29/08/2018,1669.0
23/08/2018,1587.0
22/08/2018,1640.0
21/08/2018,1584.5
20/08/2018,1584.0
16/08/2018,1594.0
15/08/2018,1643.0
14/08/2018,1638.0
13/08/2018,1698.0
09/08/2018,1697.5
08/08/2018,1696.5
07/08/2018,1696.0
06/08/2018,1696.0
02/08/2018,1735.75
01/08/2018,1745.0
31/07/2018,1769.75
30/07/2018,1769.5
26/07/2018,1784.0
25/07/2018,1783.25
24/07/2018,1783.0
19/07/2018,1745.5
18/07/2018,1770.0
17/07/2018,1775.0
16/07/2018,1780.0
12/07/2018,1775.0
11/07/2018,1765.0
10/07/2018,1765.0
09/07/2018,1755.0
05/07/2018,1734.5
04/07/2018,1734.25
03/07/2018,1734.0
02/07/2018,1734.0
28/06/2018,1723.5
27/06/2018,1728.0
26/06/2018,1737.5
25/06/2018,1747.0
21/06/2018,1751.0
20/06/2018,1760.0
19/06/2018,1780.0
18/06/2018,1780.0
14/06/2018,1780.0
13/06/2018,1780.0
12/06/2018,1860.0
11/06/2018,1900.0
06/06/2018,1860.0
05/06/2018,1840.0
04/06/2018,1860.0
31/05/2018,1850.0
30/05/2018,1809.5
24/05/2018,1884.5
23/05/2018,1889.0
22/05/2018,1889.0
21/05/2018,1889.0
17/05/2018,1878.0
16/05/2018,1897.5
15/05/2018,1897.0
14/05/2018,1927.0
10/05/2018,1926.5
09/05/2018,1926.0
03/05/2018,1886.0
02/05/2018,1920.0
01/05/2018,1920.0
30/04/2018,1920.0
26/04/2018,1917.0
25/04/2018,1934.0
24/04/2018,1934.0
23/04/2018,1961.5
19/04/2018,1954.0
17/04/2018,1889.0
16/04/2018,1894.0
12/04/2018,1863.0
11/04/2018,1872.0
10/04/2018,1887.0
09/04/2018,1857.0
05/04/2018,1796.75
04/04/2018,1806.0
03/04/2018,1815.0
28/03/2018,1804.5
27/03/2018,1793.0
26/03/2018,1792.5
22/03/2018,1842.0
21/03/2018,1841.0
20/03/2018,1841.0
19/03/2018,1841.0
15/03/2018,1845.75
14/03/2018,1845.5
13/03/2018,1845.5
08/03/2018,1850.5
07/03/2018,1850.25
05/03/2020,1385.25
04/03/2020,1395.0
03/03/2020,1380.0
02/03/2020,1360.0
27/02/2020,1364.75
26/02/2020,1355.0
25/02/2020,1350.0
24/02/2020,1355.0
20/02/2020,1365.0
19/02/2020,1370.0
18/02/2020,1380.0
17/02/2020,1375.0
13/02/2020,1355.0
12/02/2020,1345.0
11/02/2020,1312.0
10/02/2020,1302.5
06/02/2020,1355.0
05/02/2020,1370.0
04/02/2020,1365.0
03/02/2020,1380.0
30/01/2020,1361.0
29/01/2020,1405.0
28/01/2020,1420.0
27/01/2020,1414.85
22/01/2020,1420.0
21/01/2020,1424.85
20/01/2020,1440.0
16/01/2020,1405.0
15/01/2020,1385.25
14/01/2020,1330.0
13/01/2020,1350.0
09/01/2020,1370.0
08/01/2020,1385.0
07/01/2020,1375.0
06/01/2020,1335.0
02/01/2020,1325.0
31/12/2019,1330.0
30/12/2019,1339.5
23/12/2019,1320.0
19/12/2019,1325.0
18/12/2019,1309.75
17/12/2019,1400.0
16/12/2019,1400.25
12/12/2019,1385.0
11/12/2019,1400.25
10/12/2019,1400.25
09/12/2019,1405.25
05/12/2019,1345.25
03/12/2019,1325.25
02/12/2019,1314.75
28/11/2019,1324.75
27/11/2019,1344.75
26/11/2019,1320.0
25/11/2019,1344.75
21/11/2019,1340.25
20/11/2019,1285.0
19/11/2019,1264.75
18/11/2019,1300.0
14/11/2019,1334.75
13/11/2019,1334.75
12/11/2019,1324.75
11/11/2019,1314.75
07/11/2019,1289.75
06/11/2019,1329.75
05/11/2019,1330.25
04/11/2019,1354.75
31/10/2019,1365.0
30/10/2019,1365.0
29/10/2019,1345.0
28/10/2019,1325.0
24/10/2019,1360.0
23/10/2019,1319.75
21/10/2019,1167.0
17/10/2019,1164.75
16/10/2019,1164.75
15/10/2019,1149.75
14/10/2019,1190.0
10/10/2019,1179.75
09/10/2019,1225.0
08/10/2019,1122.25
07/10/2019,1150.0
03/10/2019,1190.0
02/10/2019,1185.0
01/10/2019,1185.0
30/09/2019,1175.0
26/09/2019,1185.0
25/09/2019,1185.0
24/09/2019,1215.0
23/09/2019,1215.0
19/09/2019,1220.0
18/09/2019,1225.0
17/09/2019,1185.0
16/09/2019,1185.0
12/09/2019,1185.0
11/09/2019,1200.0
10/09/2019,1180.0
05/09/2019,1133.5
04/09/2019,1118.0
03/09/2019,1127.5
02/09/2019,1132.0
29/08/2019,1136.5
28/08/2019,1145.5
27/08/2019,1145.5
22/08/2019,1140.0
21/08/2019,1172.0
20/08/2019,1167.0
19/08/2019,1192.0
15/08/2019,1194.5
14/08/2019,1207.0
13/08/2019,1227.0
12/08/2019,1232.0
08/08/2019,1267.0
07/08/2019,1271.5
06/08/2019,1316.0
05/08/2019,1280.5
01/08/2019,1295.0
31/07/2019,1305.0
30/07/2019,1305.0
29/07/2019,1300.0
25/07/2019,1320.0
23/07/2019,1305.0
22/07/2019,1275.0
18/07/2019,1285.0
17/07/2019,1250.0
16/07/2019,1235.0
15/07/2019,1245.0
11/07/2019,1235.0
10/07/2019,1270.0
09/07/2019,1265.0
08/07/2019,1240.0
04/07/2019,1215.0
03/07/2019,1217.0
02/07/2019,1196.5
01/07/2019,1191.5
27/06/2019,1216.0
26/06/2019,1225.5
25/06/2019,1181.0
24/06/2019,1189.5
20/06/2019,1220.0
19/06/2019,1200.0
18/06/2019,1265.5
17/06/2019,1246.0
13/06/2019,1261.0
12/06/2019,1276.5
10/06/2019,1268.0
06/06/2019,1267.0
05/06/2019,1258.0
04/06/2019,1274.0
03/06/2019,1299.5
30/05/2019,1295.0
29/05/2019,1301.5
28/05/2019,1327.0
23/05/2019,1369.25
22/05/2019,1420.0
21/05/2019,1445.0
20/05/2019,1412.0
16/05/2019,1389.5
15/05/2019,1351.0
14/05/2019,1367.0
13/05/2019,1350.0
09/05/2019,1345.0
08/05/2019,1344.0
07/05/2019,1344.5
02/05/2019,1341.0
01/05/2019,1330.0
30/04/2019,1350.0
29/04/2019,1354.5
25/04/2019,1356.0
23/04/2019,1345.5
17/04/2019,1350.0
16/04/2019,1334.0
