,fuel all EUR/L
22/03/2016,1.039
23/03/2016,1.039
24/03/2016,1.039
25/03/2016,1.039
26/03/2016,1.039
27/03/2016,1.039
28/03/2016,1.039
29/03/2016,1.039
30/03/2016,1.039
01/04/2016,1.049
02/04/2016,1.049
03/04/2016,1.049
04/04/2016,1.049
05/04/2016,1.049
06/04/2016,1.049
07/04/2016,1.049
08/04/2016,1.049
09/04/2016,1.049
10/04/2016,1.049
11/04/2016,1.049
12/04/2016,1.049
13/04/2016,1.049
14/04/2016,1.049
15/04/2016,1.049
16/04/2016,1.049
17/04/2016,1.049
18/04/2016,1.049
19/04/2016,1.049
20/04/2016,1.049
21/04/2016,1.049
22/04/2016,1.049
23/04/2016,1.049
24/04/2016,1.049
25/04/2016,1.049
26/04/2016,1.049
27/04/2016,1.049
28/04/2016,1.049
29/04/2016,1.049
30/04/2016,1.049
01/05/2016,1.097
02/05/2016,1.097
03/05/2016,1.097
04/05/2016,1.097
05/05/2016,1.097
06/05/2016,1.097
07/05/2016,1.097
08/05/2016,1.097
09/05/2016,1.097
10/05/2016,1.097
11/05/2016,1.097
12/05/2016,1.097
13/05/2016,1.097
14/05/2016,1.097
15/05/2016,1.097
16/05/2016,1.097
17/05/2016,1.097
18/05/2016,1.097
19/05/2016,1.097
20/05/2016,1.097
21/05/2016,1.097
22/05/2016,1.097
23/05/2016,1.097
24/05/2016,1.097
25/05/2016,1.097
26/05/2016,1.097
27/05/2016,1.097
28/05/2016,1.097
29/05/2016,1.097
30/05/2016,1.097
01/06/2016,1.124
02/06/2016,1.124
03/06/2016,1.124
04/06/2016,1.124
05/06/2016,1.124
06/06/2016,1.124
07/06/2016,1.124
08/06/2016,1.124
09/06/2016,1.124
10/06/2016,1.124
11/06/2016,1.124
12/06/2016,1.124
13/06/2016,1.124
14/06/2016,1.124
15/06/2016,1.124
16/06/2016,1.124
17/06/2016,1.124
18/06/2016,1.124
19/06/2016,1.124
20/06/2016,1.124
21/06/2016,1.124
22/06/2016,1.124
23/06/2016,1.124
24/06/2016,1.124
25/06/2016,1.124
26/06/2016,1.124
27/06/2016,1.124
28/06/2016,1.124
29/06/2016,1.124
30/06/2016,1.124
01/07/2016,1.104
02/07/2016,1.104
03/07/2016,1.104
04/07/2016,1.104
05/07/2016,1.104
06/07/2016,1.104
07/07/2016,1.104
08/07/2016,1.104
09/07/2016,1.104
10/07/2016,1.104
11/07/2016,1.104
12/07/2016,1.104
13/07/2016,1.104
14/07/2016,1.104
15/07/2016,1.104
16/07/2016,1.104
17/07/2016,1.104
18/07/2016,1.104
19/07/2016,1.104
20/07/2016,1.104
21/07/2016,1.104
22/07/2016,1.104
23/07/2016,1.104
24/07/2016,1.104
25/07/2016,1.104
26/07/2016,1.104
27/07/2016,1.104
28/07/2016,1.104
29/07/2016,1.104
30/07/2016,1.104
01/08/2016,1.091
02/08/2016,1.091
03/08/2016,1.091
04/08/2016,1.091
05/08/2016,1.091
06/08/2016,1.091
07/08/2016,1.091
08/08/2016,1.091
09/08/2016,1.091
10/08/2016,1.091
11/08/2016,1.091
12/08/2016,1.091
13/08/2016,1.091
14/08/2016,1.091
15/08/2016,1.091
16/08/2016,1.091
17/08/2016,1.091
18/08/2016,1.091
19/08/2016,1.091
20/08/2016,1.091
21/08/2016,1.091
22/08/2016,1.091
23/08/2016,1.091
24/08/2016,1.091
25/08/2016,1.091
26/08/2016,1.091
27/08/2016,1.091
28/08/2016,1.091
29/08/2016,1.091
30/08/2016,1.091
01/09/2016,1.106
02/09/2016,1.106
03/09/2016,1.106
04/09/2016,1.106
05/09/2016,1.106
06/09/2016,1.106
07/09/2016,1.106
08/09/2016,1.106
09/09/2016,1.106
10/09/2016,1.106
11/09/2016,1.106
12/09/2016,1.106
13/09/2016,1.106
14/09/2016,1.106
15/09/2016,1.106
16/09/2016,1.106
17/09/2016,1.106
18/09/2016,1.106
19/09/2016,1.106
20/09/2016,1.106
21/09/2016,1.106
22/09/2016,1.106
23/09/2016,1.106
24/09/2016,1.106
25/09/2016,1.106
26/09/2016,1.106
27/09/2016,1.106
28/09/2016,1.106
29/09/2016,1.106
30/09/2016,1.106
01/010/2016,1.149
02/010/2016,1.149
03/010/2016,1.149
04/010/2016,1.149
05/010/2016,1.149
06/010/2016,1.149
07/010/2016,1.149
08/010/2016,1.149
09/010/2016,1.149
10/010/2016,1.149
11/010/2016,1.149
12/010/2016,1.149
13/010/2016,1.149
14/010/2016,1.149
15/010/2016,1.149
16/010/2016,1.149
17/010/2016,1.149
18/010/2016,1.149
19/010/2016,1.149
20/010/2016,1.149
21/010/2016,1.149
22/010/2016,1.149
23/010/2016,1.149
24/010/2016,1.149
25/010/2016,1.149
26/010/2016,1.149
27/010/2016,1.149
28/010/2016,1.149
29/010/2016,1.149
30/010/2016,1.149
01/11/2016,1.133
02/11/2016,1.133
03/11/2016,1.133
04/11/2016,1.133
05/11/2016,1.133
06/11/2016,1.133
07/11/2016,1.133
08/11/2016,1.133
09/11/2016,1.133
10/11/2016,1.133
11/11/2016,1.133
12/11/2016,1.133
13/11/2016,1.133
14/11/2016,1.133
15/11/2016,1.133
16/11/2016,1.133
17/11/2016,1.133
18/11/2016,1.133
19/11/2016,1.133
20/11/2016,1.133
21/11/2016,1.133
22/11/2016,1.133
23/11/2016,1.133
24/11/2016,1.133
25/11/2016,1.133
26/11/2016,1.133
27/11/2016,1.133
28/11/2016,1.133
29/11/2016,1.133
30/11/2016,1.133
01/12/2016,1.19
02/12/2016,1.19
03/12/2016,1.19
04/12/2016,1.19
05/12/2016,1.19
06/12/2016,1.19
07/12/2016,1.19
08/12/2016,1.19
09/12/2016,1.19
10/12/2016,1.19
11/12/2016,1.19
12/12/2016,1.19
13/12/2016,1.19
14/12/2016,1.19
15/12/2016,1.19
16/12/2016,1.19
17/12/2016,1.19
18/12/2016,1.19
19/12/2016,1.19
20/12/2016,1.19
21/12/2016,1.19
22/12/2016,1.19
23/12/2016,1.19
24/12/2016,1.19
25/12/2016,1.19
26/12/2016,1.19
27/12/2016,1.19
28/12/2016,1.19
29/12/2016,1.19
30/12/2016,1.19
01/01/2017,1.203
02/01/2017,1.203
03/01/2017,1.203
04/01/2017,1.203
05/01/2017,1.203
06/01/2017,1.203
07/01/2017,1.203
08/01/2017,1.203
09/01/2017,1.203
10/01/2017,1.203
11/01/2017,1.203
12/01/2017,1.203
13/01/2017,1.203
14/01/2017,1.203
15/01/2017,1.203
16/01/2017,1.203
17/01/2017,1.203
18/01/2017,1.203
19/01/2017,1.203
20/01/2017,1.203
21/01/2017,1.203
22/01/2017,1.203
23/01/2017,1.203
24/01/2017,1.203
25/01/2017,1.203
26/01/2017,1.203
27/01/2017,1.203
28/01/2017,1.203
29/01/2017,1.203
30/01/2017,1.203
01/02/2017,1.199
02/02/2017,1.199
03/02/2017,1.199
04/02/2017,1.199
05/02/2017,1.199
06/02/2017,1.199
07/02/2017,1.199
08/02/2017,1.199
09/02/2017,1.199
10/02/2017,1.199
11/02/2017,1.199
12/02/2017,1.199
13/02/2017,1.199
14/02/2017,1.199
15/02/2017,1.199
16/02/2017,1.199
17/02/2017,1.199
18/02/2017,1.199
19/02/2017,1.199
20/02/2017,1.199
21/02/2017,1.199
22/02/2017,1.199
23/02/2017,1.199
24/02/2017,1.199
25/02/2017,1.199
26/02/2017,1.199
27/02/2017,1.199
28/02/2017,1.199
29/02/2017,1.199
30/02/2017,1.199
01/03/2017,1.178
02/03/2017,1.178
03/03/2017,1.178
04/03/2017,1.178
05/03/2017,1.178
06/03/2017,1.178
07/03/2017,1.178
08/03/2017,1.178
09/03/2017,1.178
10/03/2017,1.178
11/03/2017,1.178
12/03/2017,1.178
13/03/2017,1.178
14/03/2017,1.178
15/03/2017,1.178
16/03/2017,1.178
17/03/2017,1.178
18/03/2017,1.178
19/03/2017,1.178
20/03/2017,1.178
21/03/2017,1.178
22/03/2017,1.178
23/03/2017,1.178
24/03/2017,1.178
25/03/2017,1.178
26/03/2017,1.178
27/03/2017,1.178
28/03/2017,1.178
29/03/2017,1.178
30/03/2017,1.178
01/04/2017,1.184
02/04/2017,1.184
03/04/2017,1.184
04/04/2017,1.184
05/04/2017,1.184
06/04/2017,1.184
07/04/2017,1.184
08/04/2017,1.184
09/04/2017,1.184
10/04/2017,1.184
11/04/2017,1.184
12/04/2017,1.184
13/04/2017,1.184
14/04/2017,1.184
15/04/2017,1.184
16/04/2017,1.184
17/04/2017,1.184
18/04/2017,1.184
19/04/2017,1.184
20/04/2017,1.184
21/04/2017,1.184
22/04/2017,1.184
23/04/2017,1.184
24/04/2017,1.184
25/04/2017,1.184
26/04/2017,1.184
27/04/2017,1.184
28/04/2017,1.184
29/04/2017,1.184
30/04/2017,1.184
01/05/2017,1.156
02/05/2017,1.156
03/05/2017,1.156
04/05/2017,1.156
05/05/2017,1.156
06/05/2017,1.156
07/05/2017,1.156
08/05/2017,1.156
09/05/2017,1.156
10/05/2017,1.156
11/05/2017,1.156
12/05/2017,1.156
13/05/2017,1.156
14/05/2017,1.156
15/05/2017,1.156
16/05/2017,1.156
17/05/2017,1.156
18/05/2017,1.156
19/05/2017,1.156
20/05/2017,1.156
21/05/2017,1.156
22/05/2017,1.156
23/05/2017,1.156
24/05/2017,1.156
25/05/2017,1.156
26/05/2017,1.156
27/05/2017,1.156
28/05/2017,1.156
29/05/2017,1.156
30/05/2017,1.156
01/06/2017,1.127
02/06/2017,1.127
03/06/2017,1.127
04/06/2017,1.127
05/06/2017,1.127
06/06/2017,1.127
07/06/2017,1.127
08/06/2017,1.127
09/06/2017,1.127
10/06/2017,1.127
11/06/2017,1.127
12/06/2017,1.127
13/06/2017,1.127
14/06/2017,1.127
15/06/2017,1.127
16/06/2017,1.127
17/06/2017,1.127
18/06/2017,1.127
19/06/2017,1.127
20/06/2017,1.127
21/06/2017,1.127
22/06/2017,1.127
23/06/2017,1.127
24/06/2017,1.127
25/06/2017,1.127
26/06/2017,1.127
27/06/2017,1.127
28/06/2017,1.127
29/06/2017,1.127
30/06/2017,1.127
01/07/2017,1.127
02/07/2017,1.127
03/07/2017,1.127
04/07/2017,1.127
05/07/2017,1.127
06/07/2017,1.127
07/07/2017,1.127
08/07/2017,1.127
09/07/2017,1.127
10/07/2017,1.127
11/07/2017,1.127
12/07/2017,1.127
13/07/2017,1.127
14/07/2017,1.127
15/07/2017,1.127
16/07/2017,1.127
17/07/2017,1.127
18/07/2017,1.127
19/07/2017,1.127
20/07/2017,1.127
21/07/2017,1.127
22/07/2017,1.127
23/07/2017,1.127
24/07/2017,1.127
25/07/2017,1.127
26/07/2017,1.127
27/07/2017,1.127
28/07/2017,1.127
29/07/2017,1.127
30/07/2017,1.127
01/08/2017,1.141
02/08/2017,1.141
03/08/2017,1.141
04/08/2017,1.141
05/08/2017,1.141
06/08/2017,1.141
07/08/2017,1.141
08/08/2017,1.141
09/08/2017,1.141
10/08/2017,1.141
11/08/2017,1.141
12/08/2017,1.141
13/08/2017,1.141
14/08/2017,1.141
15/08/2017,1.141
16/08/2017,1.141
17/08/2017,1.141
18/08/2017,1.141
19/08/2017,1.141
20/08/2017,1.141
21/08/2017,1.141
22/08/2017,1.141
23/08/2017,1.141
24/08/2017,1.141
25/08/2017,1.141
26/08/2017,1.141
27/08/2017,1.141
28/08/2017,1.141
29/08/2017,1.141
30/08/2017,1.141
01/09/2017,1.169
02/09/2017,1.169
03/09/2017,1.169
04/09/2017,1.169
05/09/2017,1.169
06/09/2017,1.169
07/09/2017,1.169
08/09/2017,1.169
09/09/2017,1.169
10/09/2017,1.169
11/09/2017,1.169
12/09/2017,1.169
13/09/2017,1.169
14/09/2017,1.169
15/09/2017,1.169
16/09/2017,1.169
17/09/2017,1.169
18/09/2017,1.169
19/09/2017,1.169
20/09/2017,1.169
21/09/2017,1.169
22/09/2017,1.169
23/09/2017,1.169
24/09/2017,1.169
25/09/2017,1.169
26/09/2017,1.169
27/09/2017,1.169
28/09/2017,1.169
29/09/2017,1.169
30/09/2017,1.169
01/010/2017,1.185
02/010/2017,1.185
03/010/2017,1.185
04/010/2017,1.185
05/010/2017,1.185
06/010/2017,1.185
07/010/2017,1.185
08/010/2017,1.185
09/010/2017,1.185
10/010/2017,1.185
11/010/2017,1.185
12/010/2017,1.185
13/010/2017,1.185
14/010/2017,1.185
15/010/2017,1.185
16/010/2017,1.185
17/010/2017,1.185
18/010/2017,1.185
19/010/2017,1.185
20/010/2017,1.185
21/010/2017,1.185
22/010/2017,1.185
23/010/2017,1.185
24/010/2017,1.185
25/010/2017,1.185
26/010/2017,1.185
27/010/2017,1.185
28/010/2017,1.185
29/010/2017,1.185
30/010/2017,1.185
01/11/2017,1.204
02/11/2017,1.204
03/11/2017,1.204
04/11/2017,1.204
05/11/2017,1.204
06/11/2017,1.204
07/11/2017,1.204
08/11/2017,1.204
09/11/2017,1.204
10/11/2017,1.204
11/11/2017,1.204
12/11/2017,1.204
13/11/2017,1.204
14/11/2017,1.204
15/11/2017,1.204
16/11/2017,1.204
17/11/2017,1.204
18/11/2017,1.204
19/11/2017,1.204
20/11/2017,1.204
21/11/2017,1.204
22/11/2017,1.204
23/11/2017,1.204
24/11/2017,1.204
25/11/2017,1.204
26/11/2017,1.204
27/11/2017,1.204
28/11/2017,1.204
29/11/2017,1.204
30/11/2017,1.204
01/12/2017,1.215
02/12/2017,1.215
03/12/2017,1.215
04/12/2017,1.215
05/12/2017,1.215
06/12/2017,1.215
07/12/2017,1.215
08/12/2017,1.215
09/12/2017,1.215
10/12/2017,1.215
11/12/2017,1.215
12/12/2017,1.215
13/12/2017,1.215
14/12/2017,1.215
15/12/2017,1.215
16/12/2017,1.215
17/12/2017,1.215
18/12/2017,1.215
19/12/2017,1.215
20/12/2017,1.215
21/12/2017,1.215
22/12/2017,1.215
23/12/2017,1.215
24/12/2017,1.215
25/12/2017,1.215
26/12/2017,1.215
27/12/2017,1.215
28/12/2017,1.215
29/12/2017,1.215
30/12/2017,1.215
01/01/2018,1.211
02/01/2018,1.211
03/01/2018,1.211
04/01/2018,1.211
05/01/2018,1.211
06/01/2018,1.211
07/01/2018,1.211
08/01/2018,1.211
09/01/2018,1.211
10/01/2018,1.211
11/01/2018,1.211
12/01/2018,1.211
13/01/2018,1.211
14/01/2018,1.211
15/01/2018,1.211
16/01/2018,1.211
17/01/2018,1.211
18/01/2018,1.211
19/01/2018,1.211
20/01/2018,1.211
21/01/2018,1.211
22/01/2018,1.211
23/01/2018,1.211
24/01/2018,1.211
25/01/2018,1.211
26/01/2018,1.211
27/01/2018,1.211
28/01/2018,1.211
29/01/2018,1.211
30/01/2018,1.211
01/02/2018,1.181
02/02/2018,1.181
03/02/2018,1.181
04/02/2018,1.181
05/02/2018,1.181
06/02/2018,1.181
07/02/2018,1.181
08/02/2018,1.181
09/02/2018,1.181
10/02/2018,1.181
11/02/2018,1.181
12/02/2018,1.181
13/02/2018,1.181
14/02/2018,1.181
15/02/2018,1.181
16/02/2018,1.181
17/02/2018,1.181
18/02/2018,1.181
19/02/2018,1.181
20/02/2018,1.181
21/02/2018,1.181
22/02/2018,1.181
23/02/2018,1.181
24/02/2018,1.181
25/02/2018,1.181
26/02/2018,1.181
27/02/2018,1.181
28/02/2018,1.181
29/02/2018,1.181
30/02/2018,1.181
01/03/2018,1.178
02/03/2018,1.178
03/03/2018,1.178
04/03/2018,1.178
05/03/2018,1.178
06/03/2018,1.178
07/03/2018,1.178
08/03/2018,1.178
09/03/2018,1.178
10/03/2018,1.178
11/03/2018,1.178
12/03/2018,1.178
13/03/2018,1.178
14/03/2018,1.178
15/03/2018,1.178
16/03/2018,1.178
17/03/2018,1.178
18/03/2018,1.178
19/03/2018,1.178
20/03/2018,1.178
21/03/2018,1.178
22/03/2018,1.178
23/03/2018,1.178
24/03/2018,1.178
25/03/2018,1.178
26/03/2018,1.178
27/03/2018,1.178
28/03/2018,1.178
29/03/2018,1.178
30/03/2018,1.178
01/04/2018,1.208
02/04/2018,1.208
03/04/2018,1.208
04/04/2018,1.208
05/04/2018,1.208
06/04/2018,1.208
07/04/2018,1.208
08/04/2018,1.208
09/04/2018,1.208
10/04/2018,1.208
11/04/2018,1.208
12/04/2018,1.208
13/04/2018,1.208
14/04/2018,1.208
15/04/2018,1.208
16/04/2018,1.208
17/04/2018,1.208
18/04/2018,1.208
19/04/2018,1.208
20/04/2018,1.208
21/04/2018,1.208
22/04/2018,1.208
23/04/2018,1.208
24/04/2018,1.208
25/04/2018,1.208
26/04/2018,1.208
27/04/2018,1.208
28/04/2018,1.208
29/04/2018,1.208
30/04/2018,1.208
01/05/2018,1.271
02/05/2018,1.271
03/05/2018,1.271
04/05/2018,1.271
05/05/2018,1.271
06/05/2018,1.271
07/05/2018,1.271
08/05/2018,1.271
09/05/2018,1.271
10/05/2018,1.271
11/05/2018,1.271
12/05/2018,1.271
13/05/2018,1.271
14/05/2018,1.271
15/05/2018,1.271
16/05/2018,1.271
17/05/2018,1.271
18/05/2018,1.271
19/05/2018,1.271
20/05/2018,1.271
21/05/2018,1.271
22/05/2018,1.271
23/05/2018,1.271
24/05/2018,1.271
25/05/2018,1.271
26/05/2018,1.271
27/05/2018,1.271
28/05/2018,1.271
29/05/2018,1.271
30/05/2018,1.271
01/06/2018,1.281
02/06/2018,1.281
03/06/2018,1.281
04/06/2018,1.281
05/06/2018,1.281
06/06/2018,1.281
07/06/2018,1.281
08/06/2018,1.281
09/06/2018,1.281
10/06/2018,1.281
11/06/2018,1.281
12/06/2018,1.281
13/06/2018,1.281
14/06/2018,1.281
15/06/2018,1.281
16/06/2018,1.281
17/06/2018,1.281
18/06/2018,1.281
19/06/2018,1.281
20/06/2018,1.281
21/06/2018,1.281
22/06/2018,1.281
23/06/2018,1.281
24/06/2018,1.281
25/06/2018,1.281
26/06/2018,1.281
27/06/2018,1.281
28/06/2018,1.281
29/06/2018,1.281
30/06/2018,1.281
01/07/2018,1.275
02/07/2018,1.275
03/07/2018,1.275
04/07/2018,1.275
05/07/2018,1.275
06/07/2018,1.275
07/07/2018,1.275
08/07/2018,1.275
09/07/2018,1.275
