,Date,variable,value
161,15/04/2015,aluminium (EUR),1696.6999999999998
162,14/04/2015,aluminium (EUR),1687.3
163,13/04/2015,aluminium (EUR),1700.5
164,10/04/2015,aluminium (EUR),1687.3
165,09/04/2015,aluminium (EUR),1682.6
166,08/04/2015,aluminium (EUR),1664.7
167,07/04/2015,aluminium (EUR),1646.8000000000002
168,01/04/2015,aluminium (EUR),1660.0500000000002
169,31/03/2015,aluminium (EUR),1660.0500000000002
170,27/03/2015,aluminium (EUR),1596.2
171,26/03/2015,aluminium (EUR),1605.4
172,25/03/2015,aluminium (EUR),1587.95
173,24/03/2015,aluminium (EUR),1630.7
174,23/03/2015,aluminium (EUR),
175,20/03/2015,aluminium (EUR),1587.0
176,19/03/2015,aluminium (EUR),1645.0
177,18/03/2015,aluminium (EUR),1610.0
178,17/03/2015,aluminium (EUR),1649.6999999999998
179,16/03/2015,aluminium (EUR),1653.475
180,13/03/2015,aluminium (EUR),1707.625
181,12/03/2015,aluminium (EUR),1689.6499999999999
182,11/03/2015,aluminium (EUR),1722.35
183,10/03/2015,aluminium (EUR),1703.28
184,09/03/2015,aluminium (EUR),1666.5800000000002
185,06/03/2015,aluminium (EUR),1665.2
186,05/03/2015,aluminium (EUR),1647.1000000000001
187,04/03/2015,aluminium (EUR),1629.0
188,03/03/2015,aluminium (EUR),1610.9
189,02/03/2015,aluminium (EUR),1610.9
190,27/02/2015,aluminium (EUR),1615.3500000000001
191,26/02/2015,aluminium (EUR),1615.3500000000001
192,24/02/2015,aluminium (EUR),1588.4
193,23/02/2015,aluminium (EUR),1588.4
194,20/02/2015,aluminium (EUR),1606.0
195,19/02/2015,aluminium (EUR),1606.0
196,18/02/2015,aluminium (EUR),1614.8
197,17/02/2015,aluminium (EUR),1592.8
198,16/02/2015,aluminium (EUR),
199,13/02/2015,aluminium (EUR),1610.4
200,12/02/2015,aluminium (EUR),1610.4
201,11/02/2015,aluminium (EUR),1606.0
202,10/02/2015,aluminium (EUR),1614.8
203,09/02/2015,aluminium (EUR),1623.6
204,06/02/2015,aluminium (EUR),1614.8
205,05/02/2015,aluminium (EUR),1596.45
206,04/02/2015,aluminium (EUR),1623.6
207,03/02/2015,aluminium (EUR),1605.15
208,02/02/2015,aluminium (EUR),1623.6
209,30/01/2015,aluminium (EUR),1642.05
210,29/01/2015,aluminium (EUR),1579.6
211,28/01/2015,aluminium (EUR),1642.05
212,27/01/2015,aluminium (EUR),1623.6
213,26/01/2015,aluminium (EUR),1642.05
214,23/01/2015,aluminium (EUR),1650.95
215,22/01/2015,aluminium (EUR),1641.2
216,20/01/2015,aluminium (EUR),1639.95
217,19/01/2015,aluminium (EUR),1586.7
218,16/01/2015,aluminium (EUR),1616.8
219,15/01/2015,aluminium (EUR),1578.1
